,Tweets
49,کچھ صحافی جنہوں نے اپنی ساری صحافت پختون قومیت کے بل بوتے پر کی ہے وہ بزدل بے شرم آج پختونوں کو دہشت گرد قرار دیئے جانے پر ایک لفظ بولنے کو تیار نہیں کیونکہ اسکا منصوبہ کہیں بہت اوپر بنایا گیا ہے۔
50,میر صاحب دوسرے زاویے سے دیکھیں تو یہ انا پرستوں کی ضد نہر میں ڈوبی ہوئی ہے۔وہی ضد جس کی تسکین کے لیے خان پر دہشت گردی کے سو پرچے کر دئیے گئے۔غیر موجودگی میں اس کے گھر پر حملہ ہوا۔اور ہاں 2018 کی اصل کہانی میں پی ٹی آئی کو ایک پلان کے تحت سادہ اکثریت سے محروم کیا گیا تھا۔
51,بالآخر مان لیا گیا ہے کہ کچھ نہیں ملا مشترکہ پریس کانفرنس کا نچوڑ
52,مارشل لائ ہی ہے یہ
53,"فرانس ملک تو کافروں کا ہوگا مگر کئی مسلمان ملکوں پر مسلط نام نہاد مسلمان اشرافیہ سے زیادہ غیرت مند ہے۔
فرانس کی پولیس نے مظاہرین کو حق پر مانتے ہوئے ان پر تشدد سے انکار کر دیا بلکہ ان کے ساتھ مظاہرے میں شامل ہوگئے ۔۔
اور مسلمان بحالت روزہ اغوا ہورہے ہیں۔"
54,"صدیق جان ولد جان محمد کو اسلام آباد کیپیٹل پولیس نے تھانہ سی ٹی ڈی کے مقدمہ 03/23 میں گرفتار کیا۔

18 مارچ جوڈیشل کمپلیکس جلاؤ گھیراؤ کے واقعات کے تناظر میں گرفتار کیا گیا۔ صدیق جان کو وقت پر عدالت میں پیش کردیا جائے گا۔
#ICTP"
55,"ایک اور سیاہ ترین دن۔۔
زمان پارک میں چادرچار دیواری کاتقدس پامال ہوا،گھریلوملازمین تک کو ماراگیا،اسلام آبادسیل ہوا،پمرا نےکوریج پر پابندی لگا دی،اسلام آباد میں بدترین آنسو گیس کےبعد ایسا بدترین تشدد کہ شبلی،مراد سعید،فرخ حبیب پر بھی لاٹھی چارج۔۔
لندن پلان اتنا زہریلا۔۔توبہ توبہ"
56,"The arrest of another senior journalist Siddique Jan in Pakistan by a fascist government of PMLN is highly condemnable. International press freedom bodies and free speech organizations must take notice of this situation in Pakistan.
@pressfreedom
 @RSF_inter
 @RSF_en"
57,دفتر خارجہ کی صحافیوں اور سیاسی رہنماؤں پر بے بنیاد مقدمات اور انہیں جیل میں ڈالنے کی مذمت۔ کشمیر میں ایسا کرنا ظلم اور بربریت ہے، دفتر خارجہ کا بیان۔
58,زمان پارک میں موجود ہر عینی شاہد یہ کہہ رہا تھا کہ بندوقیں جس طریقے سے  برآمد ہوئیں ہیں اسے دیکھ کہ کسی بچے کو بھی سمجھ آ جائے گی کہ کیا تماشہ لگایا گیا ہے! پہلے آپریشن میں بندوقوں نے سلمانی چادر اوڑھ رکھی تھی جو دوسری بار 10 منٹ میں ہی مل گئیں!
59,عمران کو جلسہ کرنے میں تو کوئی خطرہ محسوس نہیں ہوتا۔ یہ کوئی طریقہ نہیں ریلیاں نکالیں اور عدالتوں پر دھاوا بول دیں مگر پیش نہ ہوں، ہماری ترجیح گرفتار کرنا نہیں اسے مجبور کرنا ہے کہ عدالت میں پیش ہو۔ 18 مارچ کو پیش نہیں ہوں گے تو حکمت عملی تبدیل کریں گے، سختی اپنانا پڑے گی۔
60,کل کی ملاقات میں طے کیا گیا آج عدلیہ پر پارلیمنٹ میں دباؤ ڈالا گیا اور اب الیکشن کمیشن نے انتخابات ملتوی کر دیئے۔ بچوں کو بھی سمجھ آرہی ہے جو کھیل اس ملک کے ساتھ کھیلا جا رہا ہے۔
61,"یہ کھلی فسطائیت ہے۔
 #صدیق_جان_کو_رہا_کرو"
62,زمان پارک پر لشکر کشی تو چلیں عدالتی حکم کو پورا کرنے کے لیے کی گئی اب آج اسلام آباد میں پی ٹی آئی پر کریک ڈاؤن کون سی عدالت کا حکم ہے ؟ کسے خوش کیا جا رہا ؟ کیا لندن پلان کا پارٹ دوئم یہ ہے کہ لوگوں کی چادر چار دیوای کا تقدس پامال کیا جائے آئی جی صاحب  کل عدالت میں قانون کے… Show more
63,نئی تاریخ ۔۔۔ ملزم عدالت میں نہیں آئے گا عدالت چل کر ملزم کے پاس جائے گی۔۔۔ نئی تاریخ بنانے پرعمران خان کا بہت شکریہ
64,خیبرپختونخوا کے مثالی بدمعاش پولیس اہلکار کابزرگ شہری کو تھپڑ
65,کمال کرتے ہو بھائی
66,"جھوٹے کا منہ کالا سچے کا بول بالا
اس جلسے کو فلاپ کہنے والوں پر اب کوئی کیوں یقین کرے گا۔
#جلسہ_نہیں_ریفرینڈم_ہے"
67,یوم پاکستان مبارک، 23 مارچ 1940 کو برصغیر میں مسلمان ایک قوم تھے انہیں ملک کی ضرورت تھی، 23 مارچ 2023 میں ملک کو قوم کی ضرورت ہے۔ قوم بنیں اور اپنی آزادی کی حفاظت کریں۔ پاکستان، زندہ باد
68,"یہ جو کہا جا رہا ہے کہ جوڈیشنل کمپلیکس کے باہر لوگوں کی گاڑیاں جلائی گئی اس ویڈیو کلپ میں ان لوگوں کے بیچ میری گاڑی کھڑی آپ کو نظر آئے گی جو بالکل محفوظ رہی اسے ایک لکیر تک نہیں ماری گئی میں یہ کلپ جوڈیشنل کمپلیکس کی دوسری منزل کی ایک کھڑکی سے بنا رہا تھا 
تین بجے کا وقت تھا"
69,چیف الیکشن کمشنر نے مارشل لا فرمان جاری کردیا ہے مملکت خداد کو ایک بار پھر بے آئین کردیا گیا ہے
70,اسلام آباد ہائی کورٹ سے عمران خان کے وارنٹ گرفتاری معطل۔ گرفتاری سے روک دیا۔
