,Tweets
461,پولیس دوبارہ آ کر کچھ برآمد کرکے گئ، میڈیا نے پوچھا پہلے کیوں نہیں ملا تو خاموش کوئ جواب نہیں
462,آدھی بات سچ ثابت ہوگئی ہے
463,#PTI کے کارکنوں کی گرفتاری کے دوران غلطی سے فسٹ ائیر کے طالب علم جو پانچ وقت کا نمازی تھا پولیس نے گرفتار کر لیا۔ بچے کی ماں افسروں کے سامنے دہائی اگر میرے بچے کو پکڑنے سے پاکستان ٹھیک ہوتا تو میرے باقی دونوں بچے بھی پکڑ لو!
464,دیکھا تجربہ:  جو کل تک خود کرتے تھے آج منشی سے کروا رہے ہیں۔
465,#NewProfilePic
466,"سزا یافتہ مجرم جب لندن سے لاہور پہنچا تھا تو اس کا بھائی پورا دن لاہور کی گلیوں میں گھومتا رہا لیکن ائیر پورٹ نہیں پہنچ سکا تھا ،حالانکہ 5 سو پولیس اہلکار بھی ڈیوٹی پر نہیں تھی ،
اور اس خاندان نے 3 دہائیوں میں صرف لاہور پر ہی سب سے زیادہ فنڈز خرچ کیے ۔
دوسری طرف پچھلے ایک سالہ… Show more"
467,سفیر سے خوفناک ہتھیار برآمد 
468,عمران خان کو جوڈیشل کمپلیکس میں انکے قتل کے منصوبے کے حوالے سے اہم معلومات ملی ہیں۔
469,"ڈیڑھ مہینہ گزرنے کے بعد بھی پشاور پولیس لائن دھماکے جیسے بڑے سانحے کے حوالے سے تحقیقات اور انصاف صِفر ہے۔
کیا عدلیہ یا موجودہ حکومت کے کِسی بھی فرد، ادارے یا اتحادیوں میں یہ جرات ہے کہ تحقیقات کراسکے؟
پشتونوں کا خون سیاسی انجنئیرنگ و سٹراٹیجک انجنئیرنگ کے لئے استعمال کیا جاتا ہے۔"
470,قصور اسکا یہ ہے کہ اسکے وجود کے مقابلے میں اسکا دل بہت بڑا ہے وہ ڈر کر سرینڈر نہیں کرتا۔
471,And he is our PM.
472,یہی تو اصل لڑائی کہ پاکستان کے یہ دعویدار کہاں سے آگئے؟
473,عمران خان کے ساتھ عوام کی محبت کا عملی ثبوت حاضر ہے
474,واہ صاحب
475,اصل حقیقت یہ ہے، “انکشافات” پر مبنی پریس کانفرنس کا انتظار
476,"عمران ریاض آن فائر

نواز شریف  کو تَتے تَوے پر بٹھا دیا!"
477,الحمدللّٰہ فیملی کے ساتھ عمرہ کی سعادت کے لیے روانہ ہو رہا ہوں۔ اللہ رب العزت پاکستان کی خیر فرمائے آمین
478,"پولیس والا شیلنگ کی وجہ سے گر گیا تھااس پولیس اہلکار کو شدید کھانسی آرہی تھی ہم نے ریسکیو کیا صدیق جان
آپ نے ریسکیو کیا اور وہ کھانسی اب آپ پر آ گری ہے 
جج راجہ جواد عباس"
479,سیاسی حل ڈھونڈنا ہوگا اور وہ انتخابات میں ہے۔
480,"My friend, Check your facts first or else, You may also face some legal proceedings. 

I have never represented anyone in that case in any court of LAW. 

This won’t go easy for many people who wish to test me. twitter.com/shahidmaitla/s…"
481,"Dear learned counsel 
@muneebfaruqpak
 when you do your own analysis you make little sense. Believe me this teleprompter reading doesn’t suit you. Pls grow up now."
482,"تھانہ رمنا کے مطابق اس تھانے کی کسی پارٹی نے صدیق جان کو حراست میں نہیں لیا۔
@SdqJaan
 #RealeaseSiddiqueJaan"
483,سرکاری افسروں کو چاہیے کہ حکومت کی خوشی کے لئے سیاستدانوں کے خلاف انتقامی کارائیاں نہ کریں۔ کیونکہ کچھ سیاستدانوں کی تاریخ ہے خود #NRO لے کر فرار اور افسر پھنس جاتے ہیں۔
484,"سادہ کپڑوں میں ملبوس افراد بھی گرفتاری میں شامل
#ReleaseSiddiqueJaan"
485,"معروف ماہر قانون دان میاں علی اشفاق بھائی  عمرن خان کے لیگل ٹیم میں شامل،آج سے عمران خان کے خلاف ملک بھر میں مقدمات میاں اشفاق ذاتی طور پر لڑیں گے۔ میاں علی اشفاق عمران ریاض بھائی کے کیسز لڑتے دیکھ چکا ہوں اللہ تعالیٰ ان کو مزید کامیابیاں عطا فرمائے آمین
@MianAliAshfaq"
486,حامد میر صاحب جشن منانا مناسب نہیں کیونکہ اس وقت ملک میں ائین اور قانون کے مسلسل خلاف ورزی ہورہی ہے، خلاف ورزی کرنے والوں کا ساتھ دینا اس جرم میں شریک ہونے کے مترادف ہے
487,گزشتہ 2 دنوں میں پاکستان میں جسطرح کی بربریت اور جبر کا ماحول دیکھا گیا ہے امید کرتے ہیں کہ آج عدالتیں اسکا حساب لیں گی۔ عوام کو انصاف ملتا رہے تو یہی بہتر ہوتا ہے اگر وہ خود انصاف لینے نکل پڑیں تو نقصان ہوتا ہے۔
488,"سابق سی سی پی او لاہور عمر شیخ انتقال کرگئے

https://siasat.pk/threads/%D8%B3%D8%A7%D8%A8%D9%82-%D8%B3%DB%8C-%D8%B3%DB%8C-%D9%BE%DB%8C-%D8%A7%D9%88-%D9%84%D8%A7%DB%81%D9%88%D8%B1-%D8%B9%D9%85%D8%B1-%D8%B4%DB%8C%D8%AE-%D8%A7%D9%86%D8%AA%D9%82%D8%A7%D9%84-%DA%A9%D8%B1%DA%AF%D8%A6%DB%92.857347/…"
489,"امجد خان نیازی ایک امن پسند، پڑھے لکھے اور شریف النفس سیاسی رہنماء و سابق ممبر قومی اسمبلی ہیں ۔ ان کے ساتھ پولیس کا یہ پرتشدد رویہ قابل مذمت اور انسانی حقوق کی سنگین خلاف ورزی ہے۔۔پولیس کو فی الفور رہا کرنا چاہیے ۔ 
@AmjadAliKhan17 
@mohrpakistan"
490,"پاکستان میں تو سابق وزیراعظم پر گولیاں چلائی جاتی ہیں، ہماری ٹیم وہاں کیوں جائے؟
(بھارتی کرکٹر کی رائے)

ملک چلانے والوں کو کوئی شرم کوئی حیا آئے گی؟"
491,"زمان پارک سے ""ہتھیار"" برآمد ہونے کے بعد کی پریس کانفرنس 
- 
@aun_khosa"
492,"آج پولیس 6:17 پے میرے گھر میرے والد صاحب کو ڈھونڈتے ہوئے پہنچی سیڑھی لگا کر میرا گھر داخل ہوئی اور والد صاحب کا پوچھنے لگی اور میرے سرپہ ڈنڈا دے مارا اور خون نکلتا دیکھ کے بھاگ نکلی خون کے آخری قطرے تک عمران خان کے ساتھ کھڑا ہوں  انشاءاللہ
#imrankhanPTI 
@ImranRiazKhan"
493,"پاک فوج قوم کے شانہ بشانہ کھڑی ہے۔

آئی ایس پی آر"
494,اللہ اپنے حفظ و امان میں رکھے۔
495,سوال یہ بھی ہے کہ شہباز شریف بھکر کی سیٹ کس جماعت سے ڈیل کر کے جیتے تھے؟ کیا وہ آج بھی اک کالعدم کماعت نہیں، رانا کا اس ڈیل سے کیا تعلق تھا؟
496,اسپتال سے لیڈی ڈاکٹر بھی گرفتار۔ فسطائیت کا راج
497,جب طاقتور حلقوں کے ساتھ تعلقات اچھے ہوں اور ریاست نے وارنٹ تعمیل نہ کرانے ہو تو راناثنا کیس،اور جب طاقتور حلقے آپ کے ساتھ نہ ہو تو پھر عمران خان وارنٹ کیس!
498,حامد میر اور طلعت حسین دونوں نے جنرل ر باجوہ کو ایک جھوٹا شخص قرار دے دیا جو ایک اور ایکسٹینشن کے لیے سب سے جھوٹ بولتا پھر رہا تھا۔ یعنی رجیم چینج کا سارا کھیل جناب کے ذاتی مفاد سے بھی جڑا تھا۔ امید ہے باجوہ مزید انکشافات کرتے رہیں تاکہ پور پلان بے نقاب ہوجائے۔
499,"دشمن کے بچوں کو پڑھانا ہے لیکن اپنے بچوں کو دہشتگرد بنانا ہے۔ اسلام آباد پولیس نے 12 سالہ اسد 13 سالہ عثمان اور 14 سالہ ثاقب کو PTI کے ""دہشت گرد"" قرار دے کر گرفتار کیا، جج صاحب نے آج تینوں بچوں کو جیل بھیج دیا، کل ضمانت کی درخواست پر سماعت ہوگی۔

Via 
@KhalidYChaudry"
500,صدیق جان کے خلاف پہلے مریم نواز اور میڈیا سیل کا گھناؤنا پراپیگنڈا اور پھر پراپیگنڈا کی ناکامی پر صدیق جان کو گرفتار کیا جانا اس بات کا ثبوت ہے کہ فسطائیت کے پیروکار ہوش کھو چکے ہیں اور اب شدید اضطراب میں مزید بھونڈی غلطیاں کر رہے ہیں۔
501,"ایک طرف عمران خان کی گرفتاری کی خبریں ہیں کنٹینرز ہیں پولیس ہے اور دوسری طرف میڈیا پر پابندی بھی لگا دی ہے کہ کچھ بھی ہوا اور آپ نے دکھایا تو ٹی وی چینل کا لائسنس معطل کر دیا جائے گا
واہ رے جمہوریت! ریاست طاقت کی زیادتی دکھانے والی آنکھیں اور زبان بھی بند کر دی"
502,گولی چلا سکتے ہیں؟ واہ، اس کو بولتے ریاست کو دھمکی۔ اور ویسے مولانا گولی کی دھمکی دے کر نیب سے جان چھڑوا چکے ہیں!
503,"یہ تقریر سننے والی ہے آخر تک..

نوازشریف کیسے اس دور میں بھی محاذ آرائی کر کے ملک میں فساد مچا رہا تھا اور کیسے آج لندن پلان کے زریعے ملک میں فساد ہو رہا ہے..

بالکل ایک جیسا وقت ہے"
504,سکرپٹڈ ۔۔۔ بے آواز بم آج تک نہیں دیکھے
505,کیا آج عمران خان کی جان کو خطرہ نہیں تھا۔ ؟ آج انکے کارکنان بڑے جتھے کیساتھ لاہور ہائ کورٹ کیوں نہیں آئے۔پی ٹی آئی کہتی رہی کہ بن بلائےآتے ہیں تو آج کہاں سو رہے ہیں۔اس قدر جھوٹ بول کر بھی کوئی مطمعن ہے تو اسے کیا کہا جا سکتا ہے۔جتنا جھوٹ ہم بولتے ہیں دنیا میں کوئی قوم نہیں بولتی
506,صدیق جان آپ نے یہ والا آنکھوں دیکھا حال کیوں بیان نہیں کیا بھائی ؟ کیا اس لیئے خاموش رہے کیونکہ یہاں گلگت بلتستان کی پولیس عمران خان کے لیئے اسلام آباد پولیس پر شیلنگ کر رہی تھی ؟ یار صدیق جان یہ صحافتی بددیانتی نہیں تو اور کیا ہے ؟ twitter.com/sana_J2/status…
507,"آج پھر 1992کے ورلڈ کپ کامنظر ہے
تب تو لگ رہا تھا پاکستان qualify نہیں کر پائیگا لیکن وہ پاکستان کو جتوانے کا تہیہ کرکے بیٹھا تھا 
تب بھی ایک ٹیم ایسی تھی جو کسی سے نہیں ہاری تھی آج بھی ایک ٹیم ایسی ہے جوکبھی کسی سے نہیں ہاری 
اور
تب بھی پاکستان جیت گیا تھا"
508,چلو جو بھی ہو رہا ہے دیکھا جائے گا لیکن اچھا یہ ہوا مطیع اللّہ جان اور اعزاز سید جیسے لوگوں کی منافقت کھل کر سامنے آگئی ہم پوری زندگی  اختلافات کے باوجود انھیں اینٹی اسٹیبلشمنٹ اور جمہوریت کا داعی صحافی سمجھتے رہے شکر ہے ان کے چہروں سے نقاب ہٹے اور گند سامنے آیا
509,"لاہور بار ایسوسی ایشن  کا حسان نیازی ⁦
@HniaziISF
⁩ رہائی کا مطالبہ"
510,"So you get your sidekicks to mark the judge who asks you to appear before the court, post his picture, paint bull’s eye on him and then tell BBC that you are the champion of the rule of law and everyone else is a thug. Even gangsters have more respect for the law."
511,"صديق جان کی رہائی کے بعد کچھ تصويری جھلکياں۔ نيشنل پريس کلب ہر صحافی کے ساتھ ايسے ہی کھڑا ہو گا اور کسی صحافی پر ظلم برداشت نہيں کيا جاۓ گا۔ 

@SdqJaan @ImranRiazKhan"
512,الیکشن کروانا اب عدلیہ اور وکلاء کی زمہ داری ہونا چاہیئے۔
513,"ایسےہی ذہن میں آرہا،ایک طرف اسلام آبادسیشن کورٹ کاحکم،عمران خان وارنٹ،انہیں پیش کیاجائےاور4ضلعوں کی پولیس،محاصرے،آنسوگیس،تشدد،مار کٹائیاں،گرفتاریاں جبکہ دوسری طرف گجرات سیشن کورٹ کا حکم،راناثناء وارنٹ،انہیں پیش کیا جائے اور یہاں کوئی ہل جل ہی نہیں۔۔
کیوں۔۔
کوئی بتائےگا
کیوں ؟"
514,الحمدللہ عمرہ ادا کر لیا۔ پاکستان اور ہم وطنوں کے لیے ڈھیروں دعائیں۔ ابھی کوریج دیکھ کر اندازہ ہوا کہ سارے ہتھکنڈوں کے باوجود پاکستانیوں نے گزشتہ رات ایک بار پھر آزاد سوچ کا مظاہرہ کیا۔ 
515,"صدیق جان کی رہائی کیلئے اسلام آباد کے صحافی بول نیوز کے باہر جمع ہونا شروع، احتجاج جاری، جلد ہی متعلقہ تھانے کے سامنے جائیں گے۔

https://twitter.com/AmnaAliAlpiyal/status/1637881412467691520/video/1…"
516,یہ اچانک فیصلے پر عدالت میں پیشی کے مناظر ہیں۔
517,پنجاب اور اسلام آباد میں پولیس کا تحریک انصاف کے لیڈرز اور کارکنوں کے خلاف کریک ڈاؤن۔ مینار پاکستان جلسہ کا اعلان PDM کے اعصاب پر سوار ہو گیا ہے۔
518,سوشل میڈیا کے دور کی سب سے بڑی خرابی یہی ہے کہ یہ کنٹرول نہیں کیا جا سکتا۔
519,"وہ وقت تھا 
@ImranRiazKhan
 ہتھکڑی میں تھے، 
@SdqJaan
 ساتھ بیٹھے تھے اور 
@MianAliAshfaq
 کے ساتھ ایسی ہی مسکراہٹیں تھیں۔۔
آج دونوں کی جگہیں تبدیل ہیں اور عمران ریاض کی جگہ صدیق جان آ گئے
مگر ایک چیز وہیں ہے ۔۔
“ہمت، حوصلہ اور حق پر ڈٹے رہنا” ۔۔
جیتے رہیے ۔۔"
520,زمان پارک کے آس پاس دے راہگیر بھی گرفتار کے لیے گئے۔۔
521,"یہ کیسا بھدا گھٹیا اور نا انصافی پر مبنی نظام ہے کہ آٹا لینے کے لیے جان دینی پڑتی ہے۔ چارسدہ میں مفت آٹا لینے آیا ایک اور غریب شخص بھگدڑ مچنے سے جان سے ہاتھ دھو بیٹھا۔ کیا جواب دو گے خدا کو اوپر جا کر اے ظالمو۔
اس کے گھر والے کھانا نا ہونے سے پریشان تھے اب اس غریب کا دکھ کیسے… Show more"
522,کتوں کے بھونکنے سے قافلے نہیں رکتے۔ اس آڈیو میں مریم نواز کا نام نہیں سنا گیا مگر ن لیگی صحافی اور دانشور بضد ہیں کہ یہ مثال مریم نواز کے بارے میں ہی دی گئی ہے۔ وہی مریم جس کی لیک آڈیو میں میڈیا کو بھونکنے والے کتے قرار دیا گیا تھا۔
523,پولیس نے عمران خان کی رہائشگاہ زمان پارک پر دھاوا بول دیا ہے۔ اب اندر سے ایٹم بم اور weapons of mass destruction برآمد ہونے کے دعوے ہوں گے اور تحریکِ انصاف اور اِس کے حامیوں کو دہشتگرد ثابت کرنے کو کوشش ہوگی۔
524,اسلام آباد میں پیشی نہیں حملے کی تیاری۔۔۔ہزاروں آنسو گیس کے شیلز اور ربڑ بلٹس پولیس کے حوالے
525,ایسے ہی ناقابل ضمانت وارنٹس رانا ثنا کے بھی ایشو ہوئے ہیں ، چار ہفتے ہوچکے ہیں، انسداد دہشتگردی عدالت گوجرانوالہ منتظر ہے کہ کب پنجاب اور اسلام آباد پولیس عملدرآمد کریگی
526,"تاریخ اُٹھا کر دیکھیں ٹھیک 52 سال قبل دھان منڈی کے مکین شیخ مجیب کے گھر کا دروازہ اسی طرح توڑا گیا تھا 
ہم نے کیا سیکھا"
527,الحمدللہ صحافی گوہر سیال اور حذیفہ خالد کو اڈیالہ جیل سے ضمانت پر رہا کر دیا گیا ہے۔ تمام دوستوں اور صحافیوں کا شکریہ خاص طور پر عمران ریاض خان بھائی اور صدیق جان بھائی کا شکریہ انہوں نے بھرپور آواز اٹھائی۔اس کے ساتھ ساتھ ڈیجیٹل میڈیا کے ساتھی انس گوندل ساجد ندیم گوندل،فیصل… Show more
528, شکریہ مبشر بھائی 
529,پہلا نتیجہ آ گیا.. جھوٹ شروع.. نہ کسی نے پٹرول بم دیکھا، نہ فائرنگ کی آواز سنی،.. اب یہ دوسرے مرحلے میں فائرنگ والے ہتھیار اور پٹرول بم والی مشینیں برآمد کریں گے
530,"موجودہ نیب کے چئیرمین ریٹائرڈ جرنیل نزیر بٹ کو غریب قوم کے ٹیکس کے پیسوں سے ملنے والی مراعات

17 لاکھ روپے تنخواہ ہر ماہ، ایک عالیشان گھر، 2 لگژری گاڑیاں، 2 کنال کا پلاٹ پورش علاقے میں، 2 ہزار بجلی یونٹس اور 600 لیٹر پٹرول فری ہر مہینے"
531,یاد رکھیئے گا کہ فہد حسین  صاحب کے بطور مشیر تعیناتی کے بعد سے ابتک صحافیوں نے پاکستان میں مشکل ترین وقت دیکھا ہے بلکہ ڈکٹیٹر شپ کی مثال تازہ ہو گئی ہے۔ جبکہ فہد حسین صاحب بدستور عہدے پر براجمان ہیں۔
532,نہ ڈر نہ خوف ۔ صرف اپنا کام اور آزادی سے کام
533,"""امریکہ کو ""Absolutely Not"" کہنے کی کیا ضروت تھی"" کے بیانیہ سے عمران خان ""امریکی ایجنٹ"" تک کا سفر PDM نے صرف گیارہ مہینوں میں طہ کیا ہے - اب عمران خان امریکی ایجنٹ ہے اس بیانیہ کو زور و شور سے بنایا جا رہا ہے۔"
534,"لایف آئی اے کااگلا نوٹس توہین مریم پرآنے کا آسکتا ہے اوریہ نوٹس بھی کیاریاست بنام ۔عمران ریاض خان ہوگا

یا 

ریاست بذریعہ ذیشان ملک منشی مریم نواز۔بنام عمران ریاض خان 
@ImranRiazKhan
 آئے گا ؟؟؟

ماہر قانون میاں علی اشفاق 
@MianAliAshfaq
 بھائی سے رہنمائی کی التجا"
535,"مجرم نواز شریف اور عمران خان 
@ImranKhanPTI
 کے کیسز کا فرق جان کر جیو!!"
536,یاد رکھیئے گا اس خاتون کی نفرت ایک دن اسکے خاندان کا سب کچھ جلا دے گی۔
537,"شبلی فراز گزشتہ 5 گھنٹوں سے جوڈیشل کمپلیکس میں موجود ہیں ضمانت ملنے کے باوجود پولیس گرفتار کرنا چاہتی ہے۔۔
شبلی فراز زخمی ہیں اور اس وقت شدید تکلیف میں ہیں۔۔
@SdqJaan @fawadchaudhry @PTIofficial @ImranKhanPTI @ImranRiazKhan"
538,زمان پارک سے پکڑا جانے والا اسلحہ !! نوے کی دہائی نہیں یہ پیچھلی صدی میں پھنسے ہوئے ہیں۔ ڈیجیٹل شعور کے دور میں چالاکیوں سے عوامی شعور کی توہین۔
539,بزدل ہمیشہ حملہ کرنے کے لئیے کسی کے گھر سے نکلنے کا انتظار کرتے ہیں ۔ عمران خان کو عدالت میں بلانے کا مقصد واضح ہو گیا کہ بزدل اس کے گھر پر حملہ آور ہو سکیں
540,"لیں جی ان آنٹیوں کا اصل پتہ بھی جان لیں ، دونوں زمان پارک سے متصل دھرم پورہ میں میاں میر کالونی کی رہائشی ہیں انکا براہراست زمان پارک سے کوئی تعلق نہیں ہے اگر ہوتا تو اپنے گھر کے دروازے پر کھڑے ہوکر احتجاجاً انٹرویو دیتی

میاں میر کالونی میاں میر دربار کی وجہ سے جانی جاتی ہے اور… Show more"
541,"پنجاب حکومت کی پریس کانفرنس اور رویے پہ اپنا پرانا شعر یاد آگیا 

کیوں مجھے احساس ہوتا ہے کہ یہ میرے نہیں
گھر کے دربانوں کو جب بھی دیکھتا ہوں غور سے
کاظم خان"
542,#Pakistan OPEN LETTER from the International Human Rights Foundation to the governments and civil societies of the United States of America and the United Kingdom regarding the sharp deterioration of the political situation in Pakistan. #OpenLetter #IHRF #HumanRights
543,مکہ مکرمہ سے مدینہ منورہ کی جانب روانہ ہیں۔ مجھے حد درجہ حیرت ہوئی جب بے شمار لوگوں کو بلند آواز میں تو کبھی روتے ہوئے عمران خان کے حق میں دعائیں کرتے دیکھا۔ شائد کوئی اپنوں کے لیے بھی ایسے دعائیں نہیں کرتا۔ جو ملتا اس دعا کا تذکرہ ضرور کرتا۔ وہ اب لوگوں کی دعاؤں کا حصہ ہے۔
544,Enough is enough. Police in Punjab & Islamabad are breaking all laws with impunity as they target PTI. Today Azhar Mashwani was abducted in the afternoon from Lahore & his whereabouts are unknown. On 18 March Senator Shibli Faraz & Omar Sultan were badly beaten by ICT police
545,ڈونٹ ٹچ می والا ؟ https://twitter.com/intazarpanjutha/status/1637116118522273792…
546,"""فیصلہ یہ کیا گیا ہے کہ پہلے عمران خان کو نااہل اور گرفتار کیا جائے، اس کی پارٹی کو توڑا جائے پھر انتخابات کرائے جائیں،انتخابات جب بھی ہوئے انہیں حکومت میں واپسی سے روکا جائے گا کیونکہ وہ قومی مفاد کیلئے خطرہ قرار دیئے جا چکے ہیں ۔""۔حامدمیر 

https://siasat.pk/threads/%D9%81%DB%8C%D8%B5%D9%84%DB%81-%DB%81%D9%88%DA%AF%DB%8C%D8%A7-%D8%B9%D9%85%D8%B1%D8%A7%D9%86-%D8%AE%D8%A7%D9%86-%DA%A9%D9%88%D9%86%D8%A7%D8%A7%DB%81%D9%84%D8%8C-%DA%AF%D8%B1%D9%81%D8%AA%D8%A7%D8%B1%DA%A9%DB%8C%D8%A7%D8%AC%D8%A7%D8%A6%DB%8C%DA%AF%D8%A7%D8%8C%D8%AD%D8%A7%D9%85%D8%AF%D9%85%DB%8C%D8%B1.856429/…"
547,صدیق جان کی گرفتاری کیخلاف مذمت
548,"چراغ سب کے بجھیں گے ہوا کسی کی نہیں۔۔۔
کرو پراپیگنڈا۔۔۔ دیکھو پاکستانی کیا کرتے ہیں اب"
549,آٹے کے لیے شہباز شریف کے کپڑے نہیں بکے مگر اس کا لباس بدل کر اب کفن ہو جائے گا ۔
550,جو جو صحافی یا سیاستدان باجوہ صاحب کو کبھی اکیلے میں نہیں ملے وہ اللہ رب العزت کا شکر ادا کریں۔ ورنہ جناب نے ان پر بھی کوئی نہ کوئی کہانی فٹ کر دینی تھی۔
551,سہیل وڑائچ، حامد میر اور منیب فاروق تینوں صاحبان مسلسل کہہ رہے ہیں کہ عمران خان کا راستہ اسٹیبلشمنٹ روکے گی۔ صحافی جمہوریت کے ساتھ کھڑا ہوتا ہے بجائے اس کے کہ اس بات پر سوال اٹھائیں کہ ایسا کیوں کیا جائے گا اور اسٹیبلشمنٹ اپنے دائرے سے نہ نکلے یہ ہمیں بتا رہے ہیں کہ سزا ملے گی
552,پختونوں کو دہشت کہنا بند کرو بے وقوفو اور اپنی اس گھٹیا حرکت پر معافی مانگو۔
553,کیا باجوہ صاحب نے ولید اقبال سے انکی والدہ کے ساتھ ہونے والے سلوک پر معافی مانگی؟
554,عمران خان کے ترجمان اظہر مشوانی تاحال لاپتہ
555,نس گئے جے
556,اگر یہ درست ہے تو سیاسی کارکنوں کی اس طرح گرفتاریوں سے کچھ اور حاصل ہو نہ ہو پاکستان کی عالمی سطح پر بدنامی ضرور ہو گی۔ پالیسی ساز ہوش کریں اور برداشت کرنے کا حوصلہ پیدا کریں۔
557,What is the Urdu meaning of intellectual dishonesty.
558,"صدیق جان کی گرفتاری قابلِ مذمت ہے،
اس حکومت نے مارشل لاء دور کے تمام ریکارڈ توڑ ڈالے صحافیوں کو ڈرا دھمکا کر اور گرفتار کرکے ان کوآزادیِ اِظہارِ رائے سے منع کر رہے ہیں
@SdqJaan
 
@UNHumanRights
 
@amnestysasia
@EUHumanRights
@UN_HRC
@antonioguterres
@BBCWorldatOne
@cnni
@FoxNews"
559,عمران خان نظام کو ننگا کرتے ہوئے۔
560,شیر کچھار سے کیا نکلا کہ پیچھے گیڈروں لومڑوں نے اس کے گھر پر دھاوا بول دیا شیر جب تک گھر رہا کسی کو جرات نہیں ہوئی اس کے گھر کی طرف آنکھ اُٹھا کر دیکھنے کی پوچھنا تھا مریم نواز سے یہ گیدڑوں والے کام کون کر رہا ہے
561,پاگل ہونا مسئلہ نہیں پاگلوں کے ہاتھ میں 22 کروڑ کی قسمت یرغمال ہونا مسئلہ ہے
562,قومی نہیں مافیاز کے مفادات کے لیے خطرہ
563,Mr PM let’s follow the constitution of Pakistan and go for free and fair elections in two provinces of country. Let the people of Pakistan decide their fate with their votes.
564,یہ نظام کیسے اور کون چلا رہا ہے؟ پولیس، بیوروکریٹس، ایف آئی اے پیمرا حتی کہ سیاستدان سب کے سب بے چارگی کی تصویر بنے ہیں۔
565,تمام سیاسی جماعتوں کے کارکنوں کو اس ظلم کے خلاف آواز اٹھانی چاہیئے۔ یہ جمہوریت کے خلاف سازش ہے۔
566,"جب آپ سچ بولتے ہیں تو آپ سے سب پیار کرتے ہیں.
عمران ریاض جاتے جاتے کمال کی ٹانچ لگا گیا۔
@ImranRiazKhan"
567,یہ جاہلیت کا دور نہیں ہے، ہر انسان کے پاس کیمرا ہے، ہر چیز ریکارڈ پر ہوتی ہے۔ فیر پھڑے گئے۔
568,صدیق جان کی آنسو گیس والی ویڈیو اور فواد چوہدری کے مجھے اردو شاعر ہونے پر پنجابی ہونے کے باوجود“ایم کیو ایم کا دہشت گرد” قرار دینے سے یوں ہی خیال گزرا کہ فرض کریں کوئی مہاجر یا بلوچ نوجوان اس طرح چھت سے سکیورٹی فورسز پر آنسو گیس پھینکنے میں سہولت کاری کرتا ملتا تو اس کا کیا ہوتا؟
569,کسی بھی قسم کا پراپگینڈا کروانا ہو!! میڈم حاضر ہیں۔۔
570,یہ کہیں سے آپکو ڈرا ہوا لگ رہا ہے؟ جو ڈرے ہوئے ہیں لگاتار بھاگ رہے ہیں۔
571,پھر جھوٹ۔۔۔
572,یہ فیصلہ  کر کے کہ پی ٹی آئی کو دہشت گرد قرار دلوا کر کالعدم جماعت بنا دیا جائے کام شروع ہو گیا ہے۔ فرینڈلی میڈیا کا کردار بھی مخالف بنانے کی تیاری ہے۔ بازو مروڑ کرتین میں سے دو کو منا لیا گیا ہے۔ باقی ایک پر کام تیزی سے جاری ہے ۔ رابطے دھمکیوں میں بدلے اور دھمکیاں بھی سنگین۔
573,یہی ایک شاید جینوئن بندہ تھا جن کو ایوارڈ دیا گیا باقی تو اکثریت سفارشی نظر ارہے تھے
574,Sri Lanka is just 22 million and we are 222 million.
575,پولیس کے بیانیہ سے صاف لگتا ہے کہ صدیق جان اس جعلی مقدمے سے آج ہی چھوٹ جائے گا انشاءاللہ
576,برآمدگی ڈالنے کا سامان
577,امجد نیازی انتہائی ملنسار اور میٹھے انسان ہیں۔ پولیس نے جب انہیں گرفتار کیا تو وہ نہتے تھے، پھر جُرم کیا ہے؟ سیاست کرنا، سیاسی سرگرمی کرنا، حکومت مخالف سیاسی جماعت کا حصہ ہونا، احتجاج کرنا، ریلی نکالنا، سیاسی اجتماع کرنا، یہ سب تو عین جمہوریت ہے، پھر اسے جُرم کیوں بنا دیا گیا ہے؟
578,"آٹے کے بدلے ووٹ 
90 کی دہائی سے نکلے نہیں ابھی۔۔۔"
579,بلاول نے کہا تھا کہ نواز شریف ضیاءالحق کا بیٹا ہے۔۔۔
580,رانا صاحب آپکے وارنٹ پہلے سے موجود ہیں آپ کب پیش ہو رہے ہیں؟
581,صحافت سے دہشت گرد بننے تک کا سفر - صدیق جان پر اس پرچے نے ثابت کر دیا کہ وہ سچ بولنے کی صحافت کر رہا ہے جو حکومت وقت سے برداشت نہیں ہو پا رہا ، ایسا لگ رہا ہے کہ حکومت اور ان کے حامیوں کے علاوہ یہ ملک 22 کروڑ دہشت گردوں سے بھرا ہوا ہے .....
582,صبح آٹھ بجے سے آٹے کے لیے  لائنوں میں لگے لوگ: شام چار بجے مایوس لوٹ رہے تھے۔۔ اور شہباز صاحب کو دعائیں دے رہے تھے۔
583,اسلام آباد ہائیکورٹ کے چیف جسٹس نے صدیق جان کی پٹیشن میں اسلام آباد پولیس اور ایف آئی اے کو آرڈر دیا تھا کہ ہراساں نا کیا جائے اور اگر کوئی مقدمہ درج ہے تو اس بارے میں 27 مارچ کو آگاہ کیا جائے اس کے باوجود گرفتاری ہائیکورٹ کے لیے بھی لمحہ فکریہ بھی ہے اور قابل مذمت بھی ہے
584,زمان پارک میں عمران خان کی رہائش گاہ میں کوئی تہہ خانہ ہے ہی نہیں۔ صدیقی صاحب سٹھیا گئے او 
